Given	Predicted	Cosine Similarity
sexual harassment and verbal violence against women are serious issues. regardless of one's gender identity, gender presentation, or sexual orientation, no-one should be allowed to talk this way about them.	"women are human beings with dignity. they deserve respect and protection, not to be labelled as ""whores""."	0.8811281851243562
there are many cases of domestic violence, where women do not want to have such a lifestyle. this, instead, is against their rights.	women have the right to work, and it is against their rights not only in the workplace but also in life.	0.9327056345832272
if someone has a physical handicap, it must be obvious that they must be treated with respect. it should be negatively surprising that the dominant culture interprets physical handicaps as something to mock.	i don't think it is fair to mock people who are physically disabled.	0.8300576082372859
you cannot blame others for their condition, it is also society's duty to promote inclusion.	i don't think it is fair to mock people who are physically disabled.	0.8391534425883777
being physically or mentally disabled is not a 'mocking attribute'. it is just a characteristic that should not affect how people are treated.	i don't think it is fair to mock people who are physically disabled.	0.8161158940307132
we should not judge people for their mental health. it's not a matter of choice for them.	i don't think it is possible to be gullible about people with mental disabilities. they are human beings, and deserve respect.	0.8978340863358137
just because someone has a diagnosed mental disorder doesn't mean they aren't able to make rational decisions.	the brain is a very important part of our society. it's not just about mental illness, but also about social and economic conditions.	0.8542614060284683
a person can have a diagnosable mental disorder, and still be rational and intelligent.	the brain is a very important part of our society. it's not just about mental illness, but also about social and economic conditions.	0.905156138223349
the fact is that many of those diagnosed as having 'mental illness' are actually in need of mental healthcare. i can't see how you could say otherwise.	i don't see how isolation can help people. it is better to treat them as any other person would, than to isolate and discriminate against them.	0.8756588201637537
unfortunately, there are some individuals who are in need of continuous healthcare. for example, children with down's syndrome. how could they just be 'removed'?	if society is to be inclusive, then people with disabilities should be accepted and treated as normal.	0.8586322644041731
i believe that if we care enough about people with down syndrome to give them equal opportunities in our society, we will also see the benefits that would accrue to us as a society from sharing the disadvantages that they face.	children with down syndrome should be allowed to play and have fun, not isolated.	0.8859904098774939
many people with disabilities experience prejudice and discrimination, but the overwhelming majority of those people are just as intelligent as others.	people with physical disabilities are intelligent and capable of great things. they are just different from other people in many ways.	0.9317667580025917
how can you be sure they cannot contribute to our society? i do not think so.	children with intellectual disabilities are not mentally ill. they just need to be accepted and treated as any other child.	0.7860039879673396
why should you be allowed to discriminate against someone because of the handicap they have?	i don't see how banning people with cognitive difficulties would be beneficial to the university system.	0.9298154964343716
just because a person lacks a certain ability it does not mean they cannot cope with normal life. instead, they may live an even more enriched life since their indiviual interests create a life of purpose and identity.	if you want to live your life as normal, then you should try to live it.	0.8368599368574174
there are ways to overcome the problem, without treating it as a burden. for example, being more sensitive to people's needs.	i don't think it is true that people with mental disabilities cannot cope. they are just trying to live their lives as normal people, and this is what makes them different from others.	0.9200509771301854
if they were 'less useful' they would have problems working with everyone else. why doesn't this happen?	i don't think it is true that disabled people are less useful than normal folks. they are just different from us in many ways.	0.877481103328213
disabled people are not forced to live in the way you would like: they are the ones who get to choose how to live.	disabled people are not isolated. they live in a community, and have the right to be included.	0.8906921867687355
while just trying to live their best life and fulfill their desires, disabled people prove you are wrong.	disabled people are not isolated. they just need to be accepted and treated as any other human beings.	0.9055611275349539
people are different, and disabilities don't make you less of a human being.	disabled people are human beings with dignity. they deserve respect and protection, not subhumanity.	0.9213697801127524
you might be judging others by their disabilities, but this is bad. there is value in listening to others, and understanding their points of view, regardless of their mental or physical condition.	people with disabilities are human beings, and deserve respect.	0.9039267763667722
it is important to remember that disabled people often face discrimination. this could have serious long-term consequences, for example making it harder for people to have a serene life. this is why it's important to fight for their rights.	people with disabilities are not privileged. they have the same rights as anyone else, and deserve respect.	0.8796483553126134
we should remember that a large part of humanity is not defined by physical or mental limitations, but rather by character, work ethic, and values.	autistic people are not stupid. they are just different from other people in many ways.	0.7975995979107924
the same can be said of many other people, the point is that you can't claim that someone is 'no good' just based on their genetic background.	down syndrome is a genetic disorder, and it's not related to any particular disability.	0.8866262910285945
if someone has a mental health problem, or is severely physically limited, then it does not matter how good a person looks or speaks: they deserve equal opportunities, full stop.	i don't think it is fair to judge people on their abilities.	0.8227562692946511
and how can you say that? if you have any doubts about it, ask them. you could get the chance to know a good person.	i don't think it is fair to judge people on their abilities.	0.8945505053766691
why do we think that being physically disabled should have any influence on other qualities that people have, like intelligence?	physically disabled people are not stupid. they are just trying to live their lives as normal citizens, and that is what makes them human beings.	0.8800260044580436
if you really cared about people with mental health issues, you would be accepting them in schools. if you truly wanted to raise awareness of mental health issues, you should talk more about them, and not ban them.	the fact that some people are mentally disabled is not a sign of their incapability to learn.	0.8752086951340442
everyone, regardless of their physical or mental impairments, is capable of contributing to society.	if you really cared about people with disabilities, then you would know that they are not a burden to society.	0.7479058730104587
what percentage of people in the us are jewish and in a position of power? if you knew, you wouldn't be saying that.	jews have been part of our country since its beginning and they are a very important part in it.	0.8899683837178126
would you say the same thing of any other religion? what if this was said about yours?	jews have always been part of the government, and they are a very important part in it.	0.7286842949607925
why should they be? they are just people with a different faith than you.	jews are not evil. they are just different from other people in that they have different beliefs and practices.	0.8720945502426994
why shouldn't they? they are citizens, just like everyone else.	jews have always been part of our society, and they should be allowed to vote.	0.7640295102314046
even if they are jewish they are still part of our society. you don't have a point here.	jews are part of our society, and they have been a part for thousands upon generations. why would you say otherwise?	0.9254574323669775
they have certainly not poisoned our youth: the truth is that many of them are good people, and have worked hard for our country. i can't see how they can be a plague.	i don't think it is true that jews are the only people in our country who have taken over our society. they are not a plague, but rather if you	0.962319130063565
how can you be sure that the jews control the u.s. government? being a u.s. citizen does not automatically imply that they control the government.	jews have been part of the u.n for centuries, and they are still very much part our country today.	0.8220683392313571
that is not true, the percentage of jews in the u.s. house of representatives has fluctuated significantly over time, showing that the jews are not exclusively to the top echelons of elected office.	jews have always been part of our society, and they are proud to be a part.	0.883904282846098
how can you be sure that jews control the u.s. government? does it seem plausible to you? do you have any proof?	jews have always been part of our society, and they are proud to be a part.	0.71666644670841
how can you say something as discriminatory as this?	the jews have been a part of our country since its beginning. they are our brothers and sisters.	0.5826750247297393
